S.No,City,Air Quality,"Index
Value",Prominent Pollutant,"No. of Stations
Participated/
Total Stations",lats,longs
224,Suakati,Moderate,146,PM2.5,1/1,21.6043925,85.5161612
225,Surat,Good,44,SO2,1/1,21.1702401,72.83106070000001
226,Talcher,Poor,293,PM2.5,1/1,20.9501027,85.216816
227,Tensa,Moderate,139,PM2.5,1/1,21.872885,85.164911
228,Thane,Satisfactory,76,PM10,1/2,19.2183307,72.9780897
229,Thanjavur,Good,25,PM10,1/1,10.787719,79.1384288
230,Thiruvananthapuram,Good,38,PM10,2/2,8.5241391,76.9366376
231,Thoothukudi,Good,18,O3,1/1,8.764166099999999,78.1348361
232,Thrissur,Good,48,PM10,1/1,10.5276416,76.2144349
233,Tirupati,Moderate,138,PM2.5,2/2,13.6287557,79.4191795
234,Tonk,Poor,224,PM10,1/1,26.1659063,75.7962852
235,Tumakuru,Moderate,179,PM10,1/1,13.3378762,77.117325
236,Udaipur,Moderate,134,PM10,1/1,24.585445,73.712479
237,Ujjain,Satisfactory,94,PM10,1/1,23.1764665,75.7885163
238,Ulhasnagar,Moderate,106,PM2.5,1/1,19.2215115,73.1644628
239,Vapi,Moderate,121,PM2.5,1/1,20.3893155,72.9106202
240,Varanasi,Satisfactory,57,"PM10, PM2.5",4/4,25.3176452,82.9739144
241,Vatva,Satisfactory,96,PM10,1/1,22.9664255,72.6159326
242,Vellore,Moderate,110,PM2.5,1/1,12.9235541,79.1330768
243,Vijayapura,Good,37,PM2.5,1/1,16.8301708,75.710031
244,Vijayawada,Satisfactory,90,"PM10, PM2.5",2/4,16.5061743,80.6480153
245,Virar,Moderate,112,PM10,1/1,19.465622,72.806099
246,Virudhunagar,Good,22,PM10,1/1,9.5680116,77.96244349999999
247,Vrindavan,Moderate,133,PM10,1/1,27.5650088,77.6593394
248,Yadgir,Moderate,108,PM2.5,1/1,16.7625516,77.1442251
249,Yamuna Nagar,Moderate,106,PM2.5,1/1,30.1290485,77.2673901
